0,name,id,trainId,category,categoryId,hasInstances,ignoreInEval,color
0,others ,0,255,,,,,
1,rover ,1,255,,,,,
2,sky ,17,0,,,,,
3,car,33,1,,,,,
4,car_groups ,161,1,,,,,
5,motorbike ,34,2,,,,,
6,motorbike_group ,162,2,,,,,
7,bicycle ,35,3,,,,,
8,bicycle_group ,163,3,,,,,
9,person ,36,4,,,,,
10,person_group ,164,4,,,,,
11,rider ,37,5,"person on motorcycle,bicycle or tricycle ",,,,
12,rider_group ,165,5,"person on motorcycle,bicycle or tricycle ",,,,
13,truck ,38,6,,,,,
14,truck_group ,166,6,,,,,
15,bus ,39,7,,,,,
16,bus_group ,167,7,,,,,
17,tricycle ,40,8,"three-wheeled vehicles,motorized, or human-powered ",,,,
18,tricycle_group ,168,8,"three-wheeled vehicles,motorized, or human-powered ",,,,
19,road ,49,9,,,,,
20,sidewalk,50,10,,,,,
21,traffic_cone ,65,11,movable and cone-shaped markers ,,,,
22,road_pile ,66,12,fixed with many different shapes ,,,,
23,fence ,67,13,,,,,
24,traffic_light ,81,14,,,,,
25,pole ,82,15,,,,,
26,traffic_sign ,83,16,,,,,
27,wall ,84,17,,,,,
28,dustbin ,85,18,,,,,
29,billboard ,86,19,,,,,
30,building ,97,20,,,,,
31,bridge ,98,255,,,,,
32,tunnel ,99,255,,,,,
33,overpass ,100,255,,,,,
34,vegetation ,113,21,,,,,
35,unlabeled ,255,255,other unlabeled objects ,,,,
