id,name,,,
0,animal--bird,void,,
1,animal--ground-animal,void,,
2,construction--barrier--curb,void,sidewalk,terrain
3,construction--barrier--fence,fence,,
4,construction--barrier--guard-rail,void,,
5,construction--barrier--other-barrier,void,,
6,construction--barrier--wall,wall,,
7,construction--flat--bike-lane,road,,
8,construction--flat--crosswalk-plain,road,,
9,construction--flat--curb-cut,sidewalk,,
10,construction--flat--parking,road,void,
11,construction--flat--pedestrian-area,,,
12,construction--flat--rail-track,road,,
13,construction--flat--road,road,,
14,construction--flat--service-lane,road,sidewalk,
15,construction--flat--sidewalk,sidewalk,,
16,construction--structure--bridge,void,,
17,construction--structure--building,building,,
18,construction--structure--tunnel,void,,
19,human--person,person,,
20,human--rider--bicyclist,rider,,
21,human--rider--motorcyclist,rider,,
22,human--rider--other-rider,rider,person,
23,marking--crosswalk-zebra,road,,
24,marking--general,road,,
25,nature--mountain,vegetation,void,
26,nature--sand,terrain,,
27,nature--sky,sky,,
28,nature--snow,void,,
29,nature--terrain,terrain,,
30,nature--vegetation,vegetation,,
31,nature--water,,,
32,object--banner,void,,
33,object--bench,void,,
34,object--bike-rack,void,sidewalk,building
35,object--billboard,void,,
36,object--catch-basin,road,,
37,object--cctv-camera,void,,
38,object--fire-hydrant,void,,
39,object--junction-box,void,,
40,object--mailbox,void,,
41,object--manhole,road,sidewalk,
42,object--phone-booth,void,,
43,object--pothole,,,
44,object--street-light,void,,
45,object--support--pole,pole,void,
46,object--support--traffic-sign-frame,pole,void,
47,object--support--utility-pole,pole,,
48,object--traffic-light,traffic light,,
49,object--traffic-sign--back,traffic sign,,
50,object--traffic-sign--front,traffic sign,,
51,object--trash-can,void,,
52,object--vehicle--bicycle,bicycle,,
53,object--vehicle--boat,,,
54,object--vehicle--bus,bus,,
55,object--vehicle--car,truck,car,
56,object--vehicle--caravan,void,,
57,object--vehicle--motorcycle,motorcycle,,
58,object--vehicle--on-rails,train,,
59,object--vehicle--other-vehicle,void,bicycle,
60,object--vehicle--trailer,void,,
61,object--vehicle--truck,truck,,
62,object--vehicle--wheeled-slow,void,,
255,void,void,terrain,
