0,name,id,trainId,category,categoryId,hasInstances,ignoreInEval,color
0,Animal,0,0,,,,,
1,Archway,1,1,,,,,
2,Bicyclist,2,2,,,,,
3,Bicyclist,3,3,,,,,
4,Building,4,4,,,,,
5,Car,5,5,,,,,
6,CartLuggagePram,6,6,,,,,
7,Child,7,7,,,,,
8,Column_Pole,8,8,,,,,
9,Fence,9,9,,,,,
10,LaneMkgsDriv,10,10,,,,,
11,LaneMkgsNonDriv,11,11,,,,,
12,Misc_Text,12,12,,,,,
13,MotorcycleScooter,13,13,,,,,
14,OtherMoving,14,14,,,,,
15,ParkingBlock,15,15,,,,,
16,Pedestrian,16,16,,,,,
17,Road,17,17,,,,,
18,RoadShoulder,18,18,,,,,
19,Sidewalk,19,19,,,,,
20,SignSymbol,20,20,,,,,
21,Sky,21,21,,,,,
22,SUVPickupTruck,22,22,,,,,
23,TrafficCone,23,23,,,,,
24,TrafficLight,24,24,,,,,
25,Train,25,25,,,,,
26,Tree,26,26,,,,,
27,Truck_Bus,27,27,,,,,
28,Tunnel,28,28,,,,,
29,VegetationMisc,29,29,,,,,
30,Void,30,30,,,,,
31,Wall,31,31,,,,,
