0,name,id,trainId,category,categoryId,hasInstances,ignoreInEval,color
0,void,0,0,,,,,
1,road,1,1,,,,,
2,drivable fallback,2,2,,,,,
3,obs-str-bar-fallback,3,3,,,,,
4,sky,4,4,,,,,
5,building,5,5,,,,,
6,vegetation,6,6,,,,,
7,billboard,7,7,,,,,
8,pole,8,8,,,,,
9,motorcycle,9,9,,,,,
10,rider,10,10,,,,,
11,autorickshaw,11,11,,,,,
12,vehicle fallback,12,12,,,,,
13,fence,13,13,,,,,
14,non-drivable fallback,14,14,,,,,
15,person,15,15,,,,,
16,traffic sign,16,16,,,,,
17,sidewalk,17,17,,,,,
18,wall,18,18,,,,,
19,bridge,19,19,,,,,
20,truck,20,20,,,,,
21,bicycle,21,21,,,,,
22,curb,22,22,,,,,
23,car,23,23,,,,,
24,bus,24,24,,,,,
25,polegroup,25,25,,,,,
26,traffic light,26,26,,,,,
27,guard rail,27,27,,,,,
28,animal,28,28,,,,,
29,fallback background,29,29,,,,,
30,caravan,30,30,,,,,
31,out of roi,31,31,,,,,
32,tunnel,32,32,,,,,
33,parking,33,33,,,,,
34,ego vehicle,34,34,,,,,
35,trailer,35,35,,,,,
36,rail track,36,36,,,,,
37,train,37,37,,,,,
38,license plate,38,38,,,,,
39,rectification border,39,39,,,,,
40,ground,40,40,,,,,
41,unlabeled,41,41,,,,,
