0,name,id,trainId,category,categoryId,hasInstances,ignoreInEval,color
0,void,0,0,,,,,
1,car,1,1,,,,,
2,bicycle,2,2,,,,,
3,pedestrian,3,3,,,,,
4,truck,4,4,,,,,
5,motorcycle,5,5,,,,,
6,traffic light,6,6,,,,,
7,traffic sign,7,7,,,,,
8,utility vehicle,8,8,,,,,
9,sidebar,9,9,,,,,
10,speed bumper,10,10,,,,,
11,curbstone,11,11,,,,,
12,solid line,12,12,,,,,
13,irrelevant signs,13,13,,,,,
14,road blocks,14,14,,,,,
15,tractor,15,15,,,,,
16,non-drivable street,16,16,,,,,
17,zebra crossing,17,17,,,,,
18,Obstacles / trash,18,18,,,,,
19,poles,19,19,,,,,
20,rd restricted area,20,20,,,,,
21,animals,21,21,,,,,
22,grid structure,22,22,,,,,
23,signal corpus,23,23,,,,,
24,drivable cobblestone,24,24,,,,,
25,electronic traffic,25,25,,,,,
26,slow drive area,26,26,,,,,
27,nature object,27,27,,,,,
28,parking area,28,28,,,,,
29,sidewalk,29,29,,,,,
30,ego car,30,30,,,,,
31,painted driv. Instr.,31,31,,,,,
32,traffic guide obj.,32,32,,,,,
33,dashed line,33,33,,,,,
34,rd normal street,34,34,,,,,
35,sky,35,35,,,,,
36,buildings,36,36,,,,,
37,blurred area,37,37,,,,,
38,rain dirt,38,38,,,,,
