id,name,,,,,,,,,,
0,animal--bird,animals,,,,,,,,,
1,animal--ground-animal,animals,,,,,,,,,
2,construction--barrier--curb,curbstone,,,,,,,,,
3,construction--barrier--fence,grid structure,,,,,,,,,
4,construction--barrier--guard-rail,road blocks,,,,,,,,,
5,construction--barrier--other-barrier,road blocks,,,,,,,,,
6,construction--barrier--wall,buildings,,,,,,,,,
7,construction--flat--bike-lane,slow drive area,sidewalk,,,,,,,,
8,construction--flat--crosswalk-plain,rd normal street,,,,,,,,,
9,construction--flat--curb-cut,drivable cobblestone,,,,,,,,,
10,construction--flat--parking,slow drive area,parking area,,,,,,,,
11,construction--flat--pedestrian-area,slow drive area,slow drive area,,,,,,,,
12,construction--flat--rail-track,rd normal street,drivable cobblestone,n,,,,,,,
13,construction--flat--road,speed bumper,non-drivable street,rd normal street,rd restricted area,,,,,,
14,construction--flat--service-lane,non-drivable street,rd normal street,,,,,,,,
15,construction--flat--sidewalk,slow drive area,drivable cobblestone,sidewalk,,,,,,,
16,construction--structure--bridge,buildings,,,,,,,,,
17,construction--structure--building,buildings,,,,,,,,,
18,construction--structure--tunnel,buildings,,,,,,,,,
19,human--person,pedestrian,,,,,,,,,
20,human--rider--bicyclist,bicycle,,,,,,,,,
21,human--rider--motorcyclist,motorcycle,,,,,,,,,
22,human--rider--other-rider,,,,,,,,,,
23,marking--crosswalk-zebra,zebra crossing,,,,,,,,,
24,marking--general,solid line,painted driv. Instr.,dashed line,rd restricted area,,,,,,
25,nature--mountain,nature object,,,,,,,,,
26,nature--sand,,,,,,,,,,
27,nature--sky,sky,,,,,,,,,
28,nature--snow,,,,,,,,,,
29,nature--terrain,nature object,non-drivable street,,,,,,,,
30,nature--vegetation,nature object,,,,,,,,,
31,nature--water,,,,,,,,,,
32,object--banner,,,,,,,,,,
33,object--bench,Obstacles / trash,,,,,,,,,
34,object--bike-rack,Obstacles / trash,,,,,,,,,
35,object--billboard,irrelevant signs,,,,,,,,,
36,object--catch-basin,drivable cobblestone,rd normal street,,,,,,,,
37,object--cctv-camera,,,,,,,,,,
38,object--fire-hydrant,Obstacles / trash,,,,,,,,,
39,object--junction-box,Obstacles / trash,,,,,,,,,
40,object--mailbox,Obstacles / trash,,,,,,,,,
41,object--manhole,rd normal street,parking area,sidewalk,non-drivable street,,,,,,
42,object--phone-booth,Obstacles / trash,,,,,,,,,
43,object--pothole,,,,,,,,,,
44,object--street-light,signal corpus,,,,,,,,,
45,object--support--pole,poles,,,,,,,,,
46,object--support--traffic-sign-frame,poles,grid structure,,,,,,,,
47,object--support--utility-pole,poles,,,,,,,,,
48,object--traffic-light,traffic light,signal corpus,,,,,,,,
49,object--traffic-sign--back,irrelevant signs,,,,,,,,,
50,object--traffic-sign--front,traffic sign,traffic guide obj.,,,,,,,,
51,object--trash-can,Obstacles / trash,,,,,,,,,
52,object--vehicle--bicycle,bicycle,,,,,,,,,
53,object--vehicle--boat,,,,,,,,,,
54,object--vehicle--bus,truck,,,,,,,,,
55,object--vehicle--car,car,,,,,,,,,
56,object--vehicle--caravan,truck,,,,,,,,,
57,object--vehicle--motorcycle,motorcycle,,,,,,,,,
58,object--vehicle--on-rails,utility vehicle,,,,,,,,,
59,object--vehicle--other-vehicle,utility vehicle,tractor,,,,,,,,
60,object--vehicle--trailer,car,,,,,,,,,
61,object--vehicle--truck,truck,,,,,,,,,
62,object--vehicle--wheeled-slow,,,,,,,,,,
255,void,void,sidebar,irrelevant signs,electronic traffic,non-drivable street,ego car,traffic guide obj.,blurred area,rain dirt,Obstacles / trash
