trainId,name,,,,,,,,,,
0,asphalt,ground,road,parking,rail track,,,,,,
1,rough_drivable,terrain,,,,,,,,,
2,cobble,ground,road,parking,,,,,,,
3,sidewalk,ground,sidewalk,terrain,,,,,,,
4,building,building,,,,,,,,,
5,wall,wall,,,,,,,,,
6,fence,fence,,,,,,,,,
7,pole,pole,polegroup,,,,,,,,
8,traffic_light,traffic light,,,,,,,,,
9,traffic_sign,traffic sign,,,,,,,,,
10,tree,vegetation,,,,,,,,,
11,non_drivable_veg,vegetation,,,,,,,,,
12,crops,,,,,,,,,,
13,water,,,,,,,,,,
14,high_grass,,,,,,,,,,
15,low_grass,terrain,,,,,,,,,
16,guard_rail,guard rail,,,,,,,,,
17,sky,sky,,,,,,,,,
18,person,person,,,,,,,,,
19,rider,rider,,,,,,,,,
20,car,car,,,,,,,,,
21,truck,truck,,,,,,,,,
22,bus,bus,,,,,,,,,
23,trailer,trailer,,,,,,,,,
24,caravan,caravan,,,,,,,,,
25,on_rails,train,,,,,,,,,
26,motorcycle,motorcycle,,,,,,,,,
27,bicycle,bicycle,,,,,,,,,
28,road_marking,ground,road,parking,,,,,,,
29,bridge,bridge,,,,,,,,,
30,tunnel,tunnel,,,,,,,,,
31,rock,,,,,,,,,,
32,snow,,,,,,,,,,
33,animal,dynamic,,,,,,,,,
255,void,unlabeled,ego vehicle,rectification border,out of roi,static,dynamic,polegroup,terrain,polegroup,license plate
