0,name,id,trainId,category,categoryId,hasInstances,ignoreInEval,color
0,person,0,0,,,,,
1,bicycle,1,1,x,,,,
2,car,2,2,x,x,,,
3,motorcycle,3,3,x,,,,
4,airplane,4,4,,e,,,
5,bus,5,5,x,,,,
6,train,6,6,x,,,,
7,truck,7,7,x,,,,
8,boat,8,8,,e,,,
9,traffic light,9,9,x,x,,,
10,fire hydrant,10,10,,,,,
11,stop sign,11,11,x,x,,,
12,parking meter,12,12,,,,,
13,bench,13,13,,,,,
14,bird,14,14,,,,,
15,cat,15,15,,,,,
16,dog,16,16,,,,,
17,horse,17,17,,,,,
18,sheep,18,18,,,,,
19,cow,19,19,,,,,
20,elephant,20,20,,e,,,
21,bear,21,21,,e,,,
22,zebra,22,22,,e,,,
23,giraffe,23,23,,e,,,
24,backpack,24,24,,,,,
25,umbrella,25,25,,,,,
26,handbag,26,26,,,,,
27,tie,27,27,e,e,,,
28,suitcase,28,28,e,e,,,
29,frisbee,29,29,,e,,,
30,skis,30,30,,e,,,
31,snowboard,31,31,,e,,,
32,sports ball,32,32,,e,,,
33,kite,33,33,,e,,,
34,baseball bat,34,34,e,e,,,
35,baseball glove,35,35,e,e,,,
36,skateboard,36,36,e,e,,,
37,surfboard,37,37,e,e,,,
38,tennis racket,38,38,e,e,,,
39,bottle,39,39,e,e,,,
40,wine glass,40,40,e,e,,,
41,cup,41,41,e,e,,,
42,fork,42,42,e,e,,,
43,knife,43,43,e,e,,,
44,spoon,44,44,e,e,,,
45,bowl,45,45,e,e,,,
46,banana,46,46,e,e,,,
47,apple,47,47,e,e,,,
48,sandwich,48,48,e,e,,,
49,orange,49,49,e,e,,,
50,broccoli,50,50,e,e,,,
51,carrot,51,51,e,e,,,
52,hot dog,52,52,e,e,,,
53,pizza,53,53,e,e,,,
54,donut,54,54,e,e,,,
55,cake,55,55,e,e,,,
56,chair,56,56,,,,,
57,couch,57,57,e,e,,,
58,potted plant,58,58,,,,,
59,bed,59,59,e,e,,,
60,dining table,60,60,e,e,,,
61,toilet,61,61,e,e,,,
62,tv,62,62,e,e,,,
63,laptop,63,63,e,e,,,
64,mouse,64,64,e,e,,,
65,remote,65,65,e,e,,,
66,keyboard,66,66,e,e,,,
67,cell phone,67,67,e,e,,,
68,microwave,68,68,e,e,,,
69,oven,69,69,e,e,,,
70,toaster,70,70,e,e,,,
71,sink,71,71,e,e,,,
72,refrigerator,72,72,e,e,,,
73,book,73,73,e,e,,,
74,clock,74,74,e,e,,,
75,vase,75,75,e,e,,,
76,scissors,76,76,e,e,,,
77,teddy bear,77,77,e,e,,,
78,hair drier,78,78,e,e,,,
79,toothbrush,79,79,e,e,,,
80,banner,80,80,e,e,,,
81,blanket,81,81,e,e,,,
82,bridge,82,82,,,,,
83,cardboard,83,83,,,,,
84,counter,84,84,e,e,,,
85,curtain,85,85,e,e,,,
86,door-stuff,86,86,,,,,
87,floor-wood,87,87,e,e,,,
88,flower,88,88,,,,,
89,fruit,89,89,e,e,,,
90,gravel,90,90,,,,,
91,house,91,91,,,,,
92,light,92,92,,,,,
93,mirror-stuff,93,93,,,,,
94,net,94,94,,,,,
95,pillow,95,95,e,e,,,
96,platform,96,96,,e,,,
97,playingfield,97,97,x,e,,,
98,railroad,98,98,x,e,,,
99,river,99,99,,,,,
100,road,100,100,x,x,,,
101,roof,101,101,,,,,
102,sand,102,102,x,,,,
103,sea,103,103,,,,,
104,shelf,104,104,e,e,,,
105,snow,105,105,,,,,
106,stairs,106,106,,,,,
107,tent,107,107,,,,,
108,towel,108,108,,,,,
109,wall-brick,109,109,,,,,
110,wall-stone,110,110,,,,,
111,wall-tile,111,111,,,,,
112,wall-wood,112,112,,,,,
113,water-other,113,113,,,,,
114,window-blind,114,114,,,,,
115,window-other,115,115,,,,,
116,tree-merged,116,116,x,,,,
117,fence-merged,117,117,,,,,
118,ceiling-merged,118,118,e,e,,,
119,sky-other-merged,119,119,,,,,
120,cabinet-merged,120,120,e,e,,,
121,table-merged,121,121,,e,,,
122,floor-other-merged,122,122,,e,,,
123,pavement-merged,123,123,x,,,,
124,mountain-merged,124,124,,,,,
125,grass-merged,125,125,x,,,,
126,dirt-merged,126,126,x,,,,
127,paper-merged,127,127,,,,,
128,food-other-merged,128,128,e,e,,,
129,building-other-merged,129,129,x,,,,
130,rock-merged,130,130,,,,,
131,wall-other-merged,131,131,,,,,
132,rug-merged,132,132,e,e,,,
133,void,255,255,,,,,
