id,name,,,,,,,,,,,,,,,,,
0,animal--bird,bird,,,,,,,,,,,,,,,,
1,animal--ground-animal,cat,dog,horse,sheep,cow,,,,,,,,,,,,
2,construction--barrier--curb,pavement-merged,,,,,,,,,,,,,,,,
3,construction--barrier--fence,net,fence-merged,,,,,,,,,,,,,,,
4,construction--barrier--guard-rail,tree-merged,grass-merged,void,,,,,,,,,,,,,,
5,construction--barrier--other-barrier,,,,,,,,,,,,,,,,,
6,construction--barrier--wall,wall-brick,wall-stone,wall-tile,wall-wood,rock-merged,wall-other-merged,,,,,,,,,,,
7,construction--flat--bike-lane,road,,,,,,,,,,,,,,,,
8,construction--flat--crosswalk-plain,road,,,,,,,,,,,,,,,,
9,construction--flat--curb-cut,road,,,,,,,,,,,,,,,,
10,construction--flat--parking,road,void,,,,,,,,,,,,,,,
11,construction--flat--pedestrian-area,pavement-merged,,,,,,,,,,,,,,,,
12,construction--flat--rail-track,road,void,,,,,,,,,,,,,,,
13,construction--flat--road,road,,,,,,,,,,,,,,,,
14,construction--flat--service-lane,road,,,,,,,,,,,,,,,,
15,construction--flat--sidewalk,pavement-merged,,,,,,,,,,,,,,,,
16,construction--structure--bridge,bridge,,,,,,,,,,,,,,,,
17,construction--structure--building,door-stuff,house,roof,stairs,tent,wall-brick,wall-stone,wall-tile,wall-wood,window-blind,window-other,building-other-merged,wall-other-merged,,,,
18,construction--structure--tunnel,,,,,,,,,,,,,,,,,
19,human--person,person,backpack,handbag,,,,,,,,,,,,,,
20,human--rider--bicyclist,person,,,,,,,,,,,,,,,,
21,human--rider--motorcyclist,person,,,,,,,,,,,,,,,,
22,human--rider--other-rider,person,,,,,,,,,,,,,,,,
23,marking--crosswalk-zebra,void,,,,,,,,,,,,,,,,
24,marking--general,road,,,,,,,,,,,,,,,,
25,nature--mountain,mountain-merged,rock-merged,,,,,,,,,,,,,,,
26,nature--sand,sand,,,,,,,,,,,,,,,,
27,nature--sky,sky-other-merged,,,,,,,,,,,,,,,,
28,nature--snow,snow,,,,,,,,,,,,,,,,
29,nature--terrain,flower,gravel,grass-merged,dirt-merged,rock-merged,void,,,,,,,,,,,
30,nature--vegetation,potted plant,flower,tree-merged,,,,,,,,,,,,,,
31,nature--water,river,sea,water-other,,,,,,,,,,,,,,
32,object--banner,,,,,,,,,,,,,,,,,
33,object--bench,bench,,,,,,,,,,,,,,,,
34,object--bike-rack,Building-other-merged,void,,,,,,,,,,,,,,,
35,object--billboard,void,,,,,,,,,,,,,,,,
36,object--catch-basin,,,,,,,,,,,,,,,,,
37,object--cctv-camera,void,,,,,,,,,,,,,,,,
38,object--fire-hydrant,fire hydrant,,,,,,,,,,,,,,,,
39,object--junction-box,void,,,,,,,,,,,,,,,,
40,object--mailbox,tree-merged,,,,,,,,,,,,,,,,
41,object--manhole,road,pavement-merged,void,,,,,,,,,,,,,,
42,object--phone-booth,,,,,,,,,,,,,,,,,
43,object--pothole,road,,,,,,,,,,,,,,,,
44,object--street-light,sky-other-merged,tree-mergedvoid,,light,,,,,,,,,,,,,
45,object--support--pole,parking meter,void,sky-other-merged,,,,,,,,,,,,,,
46,object--support--traffic-sign-frame,void,sky-other-merged,,,,,,,,,,,,,,,
47,object--support--utility-pole,void,sky-other-merged,,,,,,,,,,,,,,,
48,object--traffic-light,traffic light,,,,,,,,,,,,,,,,
49,object--traffic-sign--back,void,sky-other-merged,building-other-merged,tree-merged,,,,,,,,,,,,,
50,object--traffic-sign--front,stop sign,void,sky-other-merged,building-other-merged,tree-merged,,,,,,,,,,,,
51,object--trash-can,void,,,,,,,,,,,,,,,,
52,object--vehicle--bicycle,bicycle,,,,,,,,,,,,,,,,
53,object--vehicle--boat,boat,,,,,,,,,,,,,,,,
54,object--vehicle--bus,bus,chair,mirror-stuff,,,,,,,,,,,,,,
55,object--vehicle--car,car,truck,mirror-stuff,,,,,,,,,,,,,,
56,object--vehicle--caravan,mirror-stuff,,,,,,,,,,,,,,,,
57,object--vehicle--motorcycle,motorcycle,mirror-stuff,,,,,,,,,,,,,,,
58,object--vehicle--on-rails,train,,,,,,,,,,,,,,,,
59,object--vehicle--other-vehicle,void,,,,,,,,,,,,,,,,
60,object--vehicle--trailer,,,,,,,,,,,,,,,,,
61,object--vehicle--truck,truck,,,,,,,,,,,,,,,,
62,object--vehicle--wheeled-slow,,,,,,,,,,,,,,,,,
255,void,parking meter,backpack,umbrella,handbag,chair,potted plant,cardboard,flower,gravel,light,mirror-stuff,net,stairs,towel,paper-merged,rock-merged,void
