0,name,id,trainId,category,categoryId,hasInstances,ignoreInEval,color
0,undefined,0,255,void,10,False,True,#000000
1,traffic_cone,1,255,sign,5,False,False,#ffff00
2,snow,2,9,terrain,7,False,False,#d157a0
3,cobble,3,9,terrain,7,False,False,#ff34ff
4,obstacle,4,255,object,3,False,False,#ff4a46
5,leaves,5,9,vegetation,8,False,False,#008941
6,street_light,6,5,object,3,True,False,#006fa6
7,bikeway,7,0,road,4,False,False,#a30059
8,ego_vehicle,8,255,void,10,False,True,#ffdbe5
9,pedestrian_crossing,9,0,road,4,False,False,#7a4900
10,road_block,10,255,sign,5,True,False,#0000a6
11,road_marking,11,19,road,4,False,False,#63ffac
12,car,12,13,vehicle,9,True,False,#b79762
13,bicycle,13,18,vehicle,9,True,False,#004d43
14,person,14,11,human,2,True,False,#8fb0ff
15,bus,15,15,vehicle,9,True,False,#997d87
16,forest,16,8,vegetation,8,False,False,#5a0007
17,bush,17,8,vegetation,8,False,False,#809693
18,moss,18,8,vegetation,8,False,False,#b4a8bd
19,traffic_light,19,6,sign,5,True,False,#1b4400
20,motorcycle,20,17,vehicle,9,True,False,#4fc601
21,sidewalk,21,1,road,4,False,False,#3b5dff
22,curb,22,1,road,4,False,False,#4a3b53
23,asphalt,23,0,terrain,7,False,False,#ff2f80
24,gravel,24,9,terrain,7,False,False,#61615a
25,boom_barrier,25,255,sign,5,True,False,#34362d
26,rail_track,26,0,road,4,False,False,#6b7900
27,tree_crown,27,8,vegetation,8,False,False,#00c2a0
28,tree_trunk,28,8,vegetation,8,True,False,#ffaa92
29,debris,29,255,construction,1,False,False,#886f4c
30,crops,30,8,vegetation,8,False,False,#0086ed
31,soil,31,9,terrain,7,False,False,#d16100
32,rider,32,12,human,2,True,False,#ddefff
33,animal,33,255,animal,0,True,False,#000035
34,truck,34,14,vehicle,9,True,False,#7b4f4b
35,on_rails,35,16,vehicle,9,True,False,#a1c299
36,caravan,36,255,vehicle,9,True,False,#300018
37,trailer,37,255,vehicle,9,True,False,#0aa6d8
38,building,38,2,construction,1,False,False,#013349
39,wall,39,3,construction,1,False,False,#00846f
40,rock,40,255,object,3,True,False,#372101
41,fence,41,4,construction,1,False,False,#ffb500
42,guard_rail,42,255,construction,1,False,False,#c2ffed
43,bridge,43,255,construction,1,False,False,#a079bf
44,tunnel,44,255,construction,1,False,False,#cc0744
45,pole,45,5,object,3,True,False,#c0b9b2
46,traffic_sign,46,7,sign,5,True,False,#c2ff99
47,misc_sign,47,255,sign,5,True,False,#001e09
48,barrier_tape,48,255,sign,5,False,False,#bec459
49,kick_scooter,49,255,vehicle,9,True,False,#6f0062
50,low_grass,50,9,vegetation,8,False,False,#0cbd66
51,high_grass,51,9,vegetation,8,False,False,#eec3ff
52,scenery_vegetation,52,8,vegetation,8,False,False,#456d75
53,sky,53,10,sky,6,False,False,#b77b68
54,water,54,9,water,11,False,False,#7a87a1
55,wire,55,255,construction,1,False,False,#ff8c00
56,outlier,56,255,void,10,False,True,#788d66
57,heavy_machinery,57,255,vehicle,9,True,False,#fad09f
58,container,58,255,construction,1,True,False,#ff8a9a
59,hedge,59,8,vegetation,8,False,False,#d157a0
60,barrel,60,255,object,3,True,False,#d0d000
61,pipe,61,255,object,3,False,False,#dd0000
62,tree_root,62,9,vegetation,8,False,False,#c4a484
63,military_vehicle,63,255,vehicle,9,True,True,#404040
