0,name,id,trainId,category,categoryId,hasInstances,ignoreInEval,color
0,animal--bird,0,0,,,,,
1,animal--ground-animal,1,1,,,,,
2,construction--barrier--curb,2,2,,,,,
3,construction--barrier--fence,3,3,,,,,
4,construction--barrier--guard-rail,4,4,,,,,
5,construction--barrier--other-barrier,5,5,,,,,
6,construction--barrier--wall,6,6,,,,,
7,construction--flat--bike-lane,7,7,,,,,
8,construction--flat--crosswalk-plain,8,8,,,,,
9,construction--flat--curb-cut,9,9,,,,,
10,construction--flat--parking,10,10,,,,,
11,construction--flat--pedestrian-area,11,11,,,,,
12,construction--flat--rail-track,12,12,,,,,
13,construction--flat--road,13,13,,,,,
14,construction--flat--service-lane,14,14,,,,,
15,construction--flat--sidewalk,15,15,,,,,
16,construction--structure--bridge,16,16,,,,,
17,construction--structure--building,17,17,,,,,
18,construction--structure--tunnel,18,18,,,,,
19,human--person,19,19,,,,,
20,human--rider--bicyclist,20,20,,,,,
21,human--rider--motorcyclist,21,21,,,,,
22,human--rider--other-rider,22,22,,,,,
23,marking--crosswalk-zebra,23,23,,,,,
24,marking--general,24,24,,,,,
25,nature--mountain,25,25,,,,,
26,nature--sand,26,26,,,,,
27,nature--sky,27,27,,,,,
28,nature--snow,28,28,,,,,
29,nature--terrain,29,29,,,,,
30,nature--vegetation,30,30,,,,,
31,nature--water,31,31,,,,,
32,object--banner,32,32,,,,,
33,object--bench,33,33,,,,,
34,object--bike-rack,34,34,,,,,
35,object--billboard,35,35,,,,,
36,object--catch-basin,36,36,,,,,
37,object--cctv-camera,37,37,,,,,
38,object--fire-hydrant,38,38,,,,,
39,object--junction-box,39,39,,,,,
40,object--mailbox,40,40,,,,,
41,object--manhole,41,41,,,,,
42,object--phone-booth,42,42,,,,,
43,object--pothole,43,43,,,,,
44,object--street-light,44,44,,,,,
45,object--support--pole,45,45,,,,,
46,object--support--traffic-sign-frame,46,46,,,,,
47,object--support--utility-pole,47,47,,,,,
48,object--traffic-light,48,48,,,,,
49,object--traffic-sign--back,49,49,,,,,
50,object--traffic-sign--front,50,50,,,,,
51,object--trash-can,51,51,,,,,
52,object--vehicle--bicycle,52,52,,,,,
53,object--vehicle--boat,53,53,,,,,
54,object--vehicle--bus,54,54,,,,,
55,object--vehicle--car,55,55,,,,,
56,object--vehicle--caravan,56,56,,,,,
57,object--vehicle--motorcycle,57,57,,,,,
58,object--vehicle--on-rails,58,58,,,,,
59,object--vehicle--other-vehicle,59,59,,,,,
60,object--vehicle--trailer,60,60,,,,,
61,object--vehicle--truck,61,61,,,,,
62,object--vehicle--wheeled-slow,62,62,,,,,
63,void--car-mount,63,63,,,,,
64,void--ego-vehicle,64,64,,,,,
65,void--unlabeled,65,65,,,,,
