,name,,,,,,,,,,,,,
0,road,driveable surface,,,,,,,,,,,,
1,sidewalk,unlabeled,,,,,,,,,,,,
2,building,unlabeled,,,,,,,,,,,,
3,wall,unlabeled,,,,,,,,,,,,
4,fence,unlabeled,,,,,,,,,,,,
5,pole,unlabeled,,,,,,,,,,,,
6,traffic light,unlabeled,,,,,,,,,,,,
7,traffic sign,unlabeled,,,,,,,,,,,,
8,vegetation,unlabeled,,,,,,,,,,,,
9,terrain,unlabeled,,,,,,,,,,,,
10,sky,unlabeled,,,,,,,,,,,,
11,person,adult,child,construction worker,police officer,wheelchair,,,,,,,,
12,rider,bicycle,motorcycle,personal mobility,,,,,,,,,,
13,car,ambulance,car,police,,,,,,,,,,
14,truck,construction,truck,,,,,,,,,,,
15,bus,bendy,rigid,,,,,,,,,,,
16,train,,,,,,,,,,,,,
17,motorcycle,motorcycle,personal mobility,,,,,,,,,,,
18,bicycle,bicycle,bicycle rack,,,,,,,,,,,
255,void,unlabeled,animal,barrier,bicycle rack,construction,debris,ego,personal mobility,pushable pullable,stroller,trafficcone,trailer,wheelchair
