0,name,id,trainId,category,categoryId,hasInstances,ignoreInEval,color
0,void,0,0,,,,,#000000
1,dirt,1,1,,,,,#6c4014
2,sand,2,2,,,,,#ffe5cc
3,grass,3,3,,,,,#006600
4,tree,4,4,,,,,#00ff00
5,pole,5,5,,,,,#009999
6,water,6,6,,,,,#0080ff
7,sky,7,7,,,,,#0000ff
8,vehicle,8,8,,,,,#ffff00
9,object,9,9,,,,,#ff007f
10,asphalt,10,10,,,,,#404040
11,gravel,11,11,,,,,#ff8000
12,building,12,12,,,,,#ff0000
13,mulch,13,13,,,,,#994c00
14,rock_bed,14,14,,,,,#666600
15,log,15,15,,,,,#660000
16,bicycle,16,16,,,,,#00ff80
17,person,17,17,,,,,#cc99ff
18,fence,18,18,,,,,#6600cc
19,bush,19,19,,,,,#ff99cc
20,sign,20,20,,,,,#006666
21,rock_bed,21,21,,,,,#99ccff
22,bridge,22,22,,,,,#66ffff
23,concrete,23,23,,,,,#65650b
24,picnic_table,24,24,,,,,#72552f
