0,name,id,trainId,category,categoryId,hasInstances,ignoreInEval,color
0,asphalt,0,0,,,,,
1,gravel,1,1,,,,,
2,soil,2,2,,,,,
3,sand,3,3,,,,,
4,bush,4,4,,,,,
5,forest,5,5,,,,,
6,low grass,6,6,,,,,
7,high grass,7,7,,,,,
8,misc. veg,8,8,,,,,
9,tree crown,9,9,,,,,
10,tree trunk,10,10,,,,,
11,building,11,11,,,,,
12,fence,12,12,,,,,
13,wall,13,13,,,,,
14,car,14,14,,,,,
15,bus,15,15,,,,,
16,sky,16,16,,,,,
17,misc. object,17,17,,,,,
18,pole,18,18,,,,,
19,traffic sign,19,19,,,,,
20,person,20,20,,,,,
21,animal,21,21,,,,,
22,ego vehicle,22,22,,,,,
23,puddle,255,255,,,,,
