trainId,name,,,,
0,asphalt,asphalt,,,
1,rough_drivable,gravel,soil,sand,
2,cobble,,,,
3,sidewalk,,,,
4,building,building,,,
5,wall,wall,,,
6,fence,fence,,,
7,pole,pole,,,
8,traffic_light,,,,
9,traffic_sign,traffic sign,,,
10,tree,forest,misc. veg,tree crown,tree trunk
11,non_drivable_veg,bush,misc. veg,misc. object,
12,crops,high grass,,,
13,water,puddle,,,
14,high_grass,high grass,,,
15,low_grass,low grass,misc. veg,,
16,guard_rail,,,,
17,sky,sky,,,
18,person,person,,,
19,rider,,,,
20,car,car,,,
21,truck,,,,
22,bus,bus,,,
23,trailer,,,,
24,caravan,,,,
25,on_rails,,,,
26,motorcycle,,,,
27,bicycle,,,,
28,road_marking,asphalt,,,
29,bridge,,,,
30,tunnel,,,,
31,rock,,,,
32,snow,,,,
33,animal,animal,,,
255,void,misc. veg,ego vehicle,misc. object,
