id,name,,,,,,
0,animal--bird,,bird,,,,
1,animal--ground-animal,void,ground_animal,,,,
2,construction--barrier--curb,void,sidewalk,,,,
3,construction--barrier--fence,void,static,,,,
4,construction--barrier--guard-rail,void,static,,,,
5,construction--barrier--other-barrier,void,static,,,,
6,construction--barrier--wall,void,building,static,,,
7,construction--flat--bike-lane,void,road,,,,
8,construction--flat--crosswalk-plain,void,road,,,,
9,construction--flat--curb-cut,void,static,sidewalk,,,
10,construction--flat--parking,void,road,,,,
11,construction--flat--pedestrian-area,void,sidewalk,,,,
12,construction--flat--rail-track,void,road,,,,
13,construction--flat--road,void,road,,,,
14,construction--flat--service-lane,,,,,,
15,construction--flat--sidewalk,void,sidewalk,,,,
16,construction--structure--bridge,void,static,,,,
17,construction--structure--building,void,building,ground,,,
18,construction--structure--tunnel,,,,,,
19,human--person,void,pedestrian,pedestrian_object,,,
20,human--rider--bicyclist,void,cyclist,,,,
21,human--rider--motorcyclist,void,motorcyclist,,,,
22,human--rider--other-rider,void,,,,,
23,marking--crosswalk-zebra,void,road_marker,,,,
24,marking--general,void,lane_marker,road_marker,,,
25,nature--mountain,void,static,,,,
26,nature--sand,void,,,,,
27,nature--sky,void,sky,,,,
28,nature--snow,,,,,,
29,nature--terrain,void,ground,,,,
30,nature--vegetation,void,vegetation,,,,
31,nature--water,void,static,,,,
32,object--banner,void,static,traffic_sign,,,
33,object--bench,void,static,,,,
34,object--bike-rack,void,static,,,,
35,object--billboard,void,static,,,,
36,object--catch-basin,,,,,,
37,object--cctv-camera,void,static,,,,
38,object--fire-hydrant,void,static,,,,
39,object--junction-box,void,static,,,,
40,object--mailbox,void,static,,,,
41,object--manhole,void,ground,,,,
42,object--phone-booth,void,static,,,,
43,object--pothole,void,ground,,,,
44,object--street-light,void,static,,,,
45,object--support--pole,void,pole,,,,
46,object--support--traffic-sign-frame,void,static,,,,
47,object--support--utility-pole,void,pole,,,,
48,object--traffic-light,void,traffic_light,,,,
49,object--traffic-sign--back,void,traffic_sign,,,,
50,object--traffic-sign--front,void,traffic_sign,construction_cone,,,
51,object--trash-can,void,dynamic,static,,,
52,object--vehicle--bicycle,void,bicycle,,,,
53,object--vehicle--boat,,,,,,
54,object--vehicle--bus,void,bus,,,,
55,object--vehicle--car,void,car,,,,
56,object--vehicle--caravan,void,other_large_vehicle,,,,
57,object--vehicle--motorcycle,void,motorcycle,,,,
58,object--vehicle--on-rails,void,other_large_vehicle,,,,
59,object--vehicle--other-vehicle,void,other_large_vehicle,,,,
60,object--vehicle--trailer,void,trailer,,,,
61,object--vehicle--truck,void,truck,,,,
62,object--vehicle--wheeled-slow,void,dynamic,,,,
255,void,void,ego_vehicle,construction_cone,pedestrian_object,static,dynamic
