0,name,id,trainId,category,categoryId,hasInstances,ignoreInEval,color
0,unlabeled,0,0,,,,,
1,egovehicle,1,1,,,,,
2,overlay,2,2,,,,,
3,outofroi,3,3,,,,,
4,static,4,4,,,,,
5,dynamic,5,5,,,,,
6,ground,6,6,,,,,
7,road,7,7,,,,,
8,sidewalk,8,8,,,,,
9,parking,9,9,,,,,
10,railtrack,10,10,,,,,
11,building,11,11,,,,,
12,wall,12,12,,,,,
13,fence,13,13,,,,,
14,guardrail,14,14,,,,,
15,bridge,15,15,,,,,
16,tunnel,16,16,,,,,
17,pole,17,17,,,,,
18,polegroup,18,18,,,,,
19,trafficlight,19,19,,,,,
20,trafficsignfront,20,20,,,,,
21,vegetation,21,21,,,,,
22,terrain,22,22,,,,,
23,sky,23,23,,,,,
24,person,24,24,,,,,
25,rider,25,25,,,,,
26,car,26,26,,,,,
27,truck,27,27,,,,,
28,bus,28,28,,,,,
29,caravan,29,29,,,,,
30,trailer,30,30,,,,,
31,onrails,31,31,,,,,
32,motorcycle,32,32,,,,,
33,bicycle,33,33,,,,,
34,pickup,34,34,,,,,
35,van,35,35,,,,,
36,billboard,36,36,,,,,
37,streetlight,37,37,,,,,
38,roadmarking,38,38,,,,,
39,junctionbox,39,39,,,,,
40,mailbox,40,40,,,,,
41,manhole,41,41,,,,,
42,phonebooth,42,42,,,,,
43,pothole,43,43,,,,,
44,bikerack,44,44,,,,,
45,trafficsignframe,45,45,,,,,
46,utilitypole,46,46,,,,,
47,motorcyclist,47,47,,,,,
48,bicyclist,48,48,,,,,
49,otherrider,49,49,,,,,
50,bird,50,50,,,,,
51,groundanimal,51,51,,,,,
52,curb,52,52,,,,,
53,trafficsignany,53,53,,,,,
54,trafficsignback,54,54,,,,,
55,trashcan,55,55,,,,,
56,otherbarrier,56,56,,,,,
57,othervehicle,57,57,,,,,
58,autorickshaw,58,58,,,,,
59,bench,59,59,,,,,
60,mountain,60,60,,,,,
61,tramtrack,61,61,,,,,
62,wheeledslow,62,62,,,,,
63,boat,63,63,,,,,
64,bikelane,64,64,,,,,
65,bikelanesidewalk,65,65,,,,,
66,banner,66,66,,,,,
67,dashcammount,67,67,,,,,
68,water,68,68,,,,,
69,sand,69,69,,,,,
70,pedestrianarea,70,70,,,,,
71,firehydrant,71,71,,,,,
72,cctvcamera,72,72,,,,,
73,snow,73,73,,,,,
74,catchbasin,74,74,,,,,
75,crosswalkplain,75,75,,,,,
76,crosswalkzebra,76,76,,,,,
77,manholesidewalk,77,77,,,,,
78,curbterrain,78,78,,,,,
79,servicelane,79,79,,,,,
80,curbcut,80,80,,,,,
