id,name,,,,,,,
0,animal--bird,bird,,,,,,
1,animal--ground-animal,groundanimal,,,,,,
2,construction--barrier--curb,curb,curbterrain,,,,,
3,construction--barrier--fence,fence,,,,,,
4,construction--barrier--guard-rail,guardrail,,,,,,
5,construction--barrier--other-barrier,otherbarrier,,,,,,
6,construction--barrier--wall,wall,,,,,,
7,construction--flat--bike-lane,bikelane,bikelanesidewalk,,,,,
8,construction--flat--crosswalk-plain,crosswalkplain,,,,,,
9,construction--flat--curb-cut,curbcut,,,,,,
10,construction--flat--parking,parking,,,,,,
11,construction--flat--pedestrian-area,pedestrianarea,,,,,,
12,construction--flat--rail-track,railtrack,tramtrack,,,,,
13,construction--flat--road,road,,,,,,
14,construction--flat--service-lane,servicelane,,,,,,
15,construction--flat--sidewalk,sidewalk,,,,,,
16,construction--structure--bridge,bridge,,,,,,
17,construction--structure--building,building,,,,,,
18,construction--structure--tunnel,tunnel,,,,,,
19,human--person,person,,,,,,
20,human--rider--bicyclist,bicyclist,rider,,,,,
21,human--rider--motorcyclist,motorcyclist,,,,,,
22,human--rider--other-rider,otherrider,,,,,,
23,marking--crosswalk-zebra,crosswalkzebra,,,,,,
24,marking--general,roadmarking,,,,,,
25,nature--mountain,mountain,,,,,,
26,nature--sand,sand,,,,,,
27,nature--sky,sky,,,,,,
28,nature--snow,snow,,,,,,
29,nature--terrain,terrain,ground, ,,,,
30,nature--vegetation,vegetation,,,,,,
31,nature--water,water,,,,,,
32,object--banner,banner,,,,,,
33,object--bench,bench,,,,,,
34,object--bike-rack,bikerack,,,,,,
35,object--billboard,billboard,,,,,,
36,object--catch-basin,catchbasin,,,,,,
37,object--cctv-camera,cctvcamera,,,,,,
38,object--fire-hydrant,firehydrant,,,,,,
39,object--junction-box,junctionbox,,,,,,
40,object--mailbox,mailbox,,,,,,
41,object--manhole,manhole,manholesidewalk,,,,,
42,object--phone-booth,phonebooth,,,,,,
43,object--pothole,pothole,,,,,,
44,object--street-light,streetlight,,,,,,
45,object--support--pole,pole,polegroup,,,,,
46,object--support--traffic-sign-frame,trafficsignframe,,,,,,
47,object--support--utility-pole,utilitypole,,,,,,
48,object--traffic-light,trafficlight,,,,,,
49,object--traffic-sign--back,trafficsignback,,,,,,
50,object--traffic-sign--front,trafficsignfront,trafficsignany,,,,,
51,object--trash-can,trashcan,,,,,,
52,object--vehicle--bicycle,bicycle,,,,,,
53,object--vehicle--boat,boat,,,,,,
54,object--vehicle--bus,bus,,,,,,
55,object--vehicle--car,car,van,pickup,,,,
56,object--vehicle--caravan,caravan,,,,,,
57,object--vehicle--motorcycle,motorcycle,,,,,,
58,object--vehicle--on-rails,onrails,,,,,,
59,object--vehicle--other-vehicle,othervehicle,autorickshaw,,,,,
60,object--vehicle--trailer,trailer,,,,,,
61,object--vehicle--truck,truck,,,,,,
62,object--vehicle--wheeled-slow,wheeledslow,,,,,,
255,void,unlabeled,egovehicle,overlay,outofroi,static,dynamic,dashcammount
